Product_Code ,Product_Type ,Product_Name
BSG01,Raw Material,Brass Circle Grade 1
VBG01,Accessories,Velvet Bag Keepsake
BIG01,Raw Material,Brass Ingots Grade 1
Z2801K,Finish Goods,Classic Bronze Keepsake in Velvet Bag
RU2801K,Finish Goods,Classic Bronze Keepsake in Velvet Box
RU2801T,Finish Goods,Classic Bronze Keepsake S/6
RU2802P,Finish Goods,Classic Pewter Petite
RU2801P,Finish Goods,Classic Bronze Petite
RU2802XS,Finish Goods,Classic Pewter Extra Small
RU2801XS,Finish Goods,Classic Bronze Extra Small
